Column 1,Column 2,Column 3,Column 4
1,"Stephen Curry, PG",Golden State Warriors,"$51,915,615"
2,"Kevin Durant, PF",Phoenix Suns,"$47,649,433"
3,"LeBron James, SF",Los Angeles Lakers,"$47,607,350"
4,"Nikola Jokic, C",Denver Nuggets,"$47,607,350"
5,"Joel Embiid, C",Philadelphia 76ers,"$46,900,000"
6,"Bradley Beal, SG",Phoenix Suns,"$46,741,590"
7,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$45,640,084"
8,"Damian Lillard, PG",Milwaukee Bucks,"$45,640,084"
9,"Kawhi Leonard, SF",LA Clippers,"$45,640,084"
10,"Paul George, F",LA Clippers,"$45,640,084"
RK,NAME,TEAM,SALARY
11,"Jimmy Butler III, SF",Miami Heat,"$45,183,960"
12,"Klay Thompson, SG",Golden State Warriors,"$43,219,440"
13,"Rudy Gobert, C",Minnesota Timberwolves,"$41,000,000"
14,"Fred VanVleet, PG",Houston Rockets,"$40,806,300"
15,"Anthony Davis, PF",Los Angeles Lakers,"$40,600,080"
16,"Luka Doncic, PG",Dallas Mavericks,"$40,064,220"
17,"Zach LaVine, SG",Chicago Bulls,"$40,064,220"
18,"Trae Young, PG",Atlanta Hawks,"$40,064,220"
19,"Tobias Harris, F",Philadelphia 76ers,"$39,270,150"
20,"Ben Simmons, PG",Brooklyn Nets,"$37,893,408"
RK,NAME,TEAM,SALARY
21,"Pascal Siakam, PF",Indiana Pacers,"$37,893,408"
22,"Kyrie Irving, PG",Dallas Mavericks,"$37,037,037"
23,"Jrue Holiday, PG",Boston Celtics,"$36,861,707"
24,"Devin Booker, SG",Phoenix Suns,"$36,016,200"
25,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$36,016,200"
26,"Kristaps Porzingis, C",Boston Celtics,"$36,016,200"
27,"CJ McCollum, SG",New Orleans Pelicans,"$35,802,469"
28,"James Harden, SG",LA Clippers,"$35,640,000"
29,"Ja Morant, PG",Memphis Grizzlies,"$34,005,250"
30,"Darius Garland, PG",Cleveland Cavaliers,"$34,005,250"
RK,NAME,TEAM,SALARY
31,"Zion Williamson, PF",New Orleans Pelicans,"$34,005,250"
32,"Jamal Murray, PG",Denver Nuggets,"$33,833,400"
33,"Brandon Ingram, SF",New Orleans Pelicans,"$33,833,400"
34,"Shai Gilgeous-Alexander, PG",Oklahoma City Thunder,"$33,386,850"
35,"Michael Porter Jr., SF",Denver Nuggets,"$33,386,850"
36,"Donovan Mitchell, SG",Cleveland Cavaliers,"$33,162,030"
37,"De'Aaron Fox, PG",Sacramento Kings,"$32,600,060"
38,"Bam Adebayo, C",Miami Heat,"$32,600,060"
39,"Jayson Tatum, SF",Boston Celtics,"$32,600,060"
40,"Deandre Ayton, C",Portland Trail Blazers,"$32,459,438"
41,"Jaylen Brown, SG",Boston Celtics,"$31,830,357"
42,"Gordon Hayward, SF",Oklahoma City Thunder,"$31,500,000"
43,"Chris Paul, PG",Golden State Warriors,"$30,800,000"
44,"Domantas Sabonis, PF",Sacramento Kings,"$30,600,000"
45,"Khris Middleton, SF",Milwaukee Bucks,"$29,320,988"
46,"DeMar DeRozan, SF",Chicago Bulls,"$28,600,000"
47,"Julius Randle, PF",New York Knicks,"$28,226,880"
48,"Jordan Poole, SG",Washington Wizards,"$27,955,357"
49,"Jerami Grant, SF",Portland Trail Blazers,"$27,586,207"
50,"Jaren Jackson Jr., PF",Memphis Grizzlies,"$27,102,202"
RK,NAME,TEAM,SALARY
51,"Tyler Herro, PG",Miami Heat,"$27,000,000"
52,"Jalen Brunson, PG",New York Knicks,"$26,346,666"
53,"Cameron Johnson, SF",Brooklyn Nets,"$25,679,348"
54,"Kyle Kuzma, SF",Washington Wizards,"$25,568,182"
55,"John Collins, PF",Utah Jazz,"$25,340,000"
56,"Brook Lopez, C",Milwaukee Bucks,"$25,000,000"
57,"Mike Conley, PG",Minnesota Timberwolves,"$24,360,000"
58,"Andrew Wiggins, SF",Golden State Warriors,"$24,330,357"
59,"Anfernee Simons, SG",Portland Trail Blazers,"$24,107,143"
60,"RJ Barrett, SG",Toronto Raptors,"$23,883,929"
RK,NAME,TEAM,SALARY
61,"Jordan Clarkson, PG",Utah Jazz,"$23,487,629"
62,"Dillon Brooks, SF",Houston Rockets,"$22,627,671"
63,"Malcolm Brogdon, PG",Portland Trail Blazers,"$22,500,000"
64,"Draymond Green, PF",Golden State Warriors,"$22,321,429"
65,"Aaron Gordon, PF",Denver Nuggets,"$22,266,182"
66,"Terry Rozier, SG",Miami Heat,"$22,205,221"
67,"Bruce Brown, SF",Toronto Raptors,"$22,000,000"
68,"Mikal Bridges, SF",Brooklyn Nets,"$21,700,000"
69,"Myles Turner, C",Indiana Pacers,"$20,975,000"
70,"Clint Capela, C",Atlanta Hawks,"$20,616,000"
RK,NAME,TEAM,SALARY
71,"Lonzo Ball, PG",Chicago Bulls,"$20,465,117"
72,"De'Andre Hunter, SF",Atlanta Hawks,"$20,089,286"
73,"Keldon Johnson, SF",San Antonio Spurs,"$20,000,000"
74,"Bojan Bogdanovic, SF",New York Knicks,"$20,000,000"
75,"Jarrett Allen, C",Cleveland Cavaliers,"$20,000,000"
76,"Joe Harris, SF",Detroit Pistons,"$19,928,571"
77,"Jakob Poeltl, C",Toronto Raptors,"$19,500,000"
78,"Buddy Hield, SG",Philadelphia 76ers,"$19,279,841"
79,"Evan Fournier, SG",Detroit Pistons,"$18,857,143"
80,"Marcus Smart, PG",Memphis Grizzlies,"$18,833,712"
81,"Bogdan Bogdanovic, SG",Atlanta Hawks,"$18,700,000"
82,"OG Anunoby, SF",New York Knicks,"$18,642,857"
83,"Gary Trent Jr., SG",Toronto Raptors,"$18,560,000"
84,"Nikola Vucevic, C",Chicago Bulls,"$18,518,519"
85,"Derrick White, PG",Boston Celtics,"$18,357,143"
86,"Dejounte Murray, SG",Atlanta Hawks,"$18,214,000"
87,"Duncan Robinson, F",Miami Heat,"$18,154,000"
88,"Norman Powell, G",LA Clippers,"$18,000,000"
89,"Tim Hardaway Jr., SF",Dallas Mavericks,"$17,897,728"
90,"Jonathan Isaac, PF",Orlando Magic,"$17,400,000"
RK,NAME,TEAM,SALARY
91,"Collin Sexton, PG",Utah Jazz,"$17,325,000"
92,"D'Angelo Russell, G",Los Angeles Lakers,"$17,307,693"
93,"Lauri Markkanen, PF",Utah Jazz,"$17,259,999"
94,"Marcus Morris Sr., F",Cleveland Cavaliers,"$17,116,279"
95,"Davis Bertans, SF",Charlotte Hornets,"$17,000,000"
96,"Harrison Barnes, SF",Sacramento Kings,"$17,000,000"
97,"Markelle Fultz, PG",Orlando Magic,"$17,000,000"
98,"Jusuf Nurkic, C",Phoenix Suns,"$16,875,000"
99,"P.J. Washington, PF",Dallas Mavericks,"$16,847,826"
100,"Kevin Porter Jr., G",Milwaukee Bucks,"$15,860,000"
RK,NAME,TEAM,SALARY
101,"Rui Hachimura, PF",Los Angeles Lakers,"$15,740,741"
102,"Mitchell Robinson, C",New York Knicks,"$15,681,818"
103,"Kevin Huerter, SG",Sacramento Kings,"$15,669,643"
104,"Jonas Valanciunas, C",New Orleans Pelicans,"$15,435,000"
105,"Luke Kennard, SG",Memphis Grizzlies,"$15,418,363"
106,"Caris LeVert, SG",Cleveland Cavaliers,"$15,384,616"
107,"Luguentz Dort, G",Oklahoma City Thunder,"$15,277,778"
108,"Kentavious Caldwell-Pope, SG",Denver Nuggets,"$14,704,938"
109,"Max Strus, SG",Cleveland Cavaliers,"$14,487,684"
110,"Tyus Jones, PG",Washington Wizards,"$14,000,000"
RK,NAME,TEAM,SALARY
111,"Dorian Finney-Smith, PF",Brooklyn Nets,"$13,932,008"
112,"Doug McDermott, SF",Indiana Pacers,"$13,750,000"
113,"Wendell Carter Jr., C",Orlando Magic,"$13,050,000"
114,"Gary Harris, SG",Orlando Magic,"$13,000,000"
115,"Josh Hart, SG",New York Knicks,"$12,960,000"
116,"Naz Reid, C",Minnesota Timberwolves,"$12,950,400"
117,"Steven Adams, C",Houston Rockets,"$12,600,000"
118,"Brandon Clarke, PF",Memphis Grizzlies,"$12,500,000"
119,"Marvin Bagley III, PF",Washington Wizards,"$12,500,000"
120,"Dennis Schroder, PG",Brooklyn Nets,"$12,405,000"
121,"Daniel Gafford, C",Dallas Mavericks,"$12,402,000"
122,"Grant Williams, PF",Charlotte Hornets,"$12,325,581"
123,"Kelly Olynyk, PF",Toronto Raptors,"$12,195,122"
124,"Victor Wembanyama, C",San Antonio Spurs,"$12,160,680"
125,"James Wiseman, C",Detroit Pistons,"$12,119,400"
126,"Devonte' Graham, PG",San Antonio Spurs,"$12,100,000"
127,"Richaun Holmes, F",Washington Wizards,"$12,046,020"
128,"Austin Reaves, SG",Los Angeles Lakers,"$12,015,150"
129,"Herbert Jones, SF",New Orleans Pelicans,"$12,015,150"
130,"Chris Boucher, PF",Toronto Raptors,"$11,750,000"
RK,NAME,TEAM,SALARY
131,"Nicolas Batum, PF",Philadelphia 76ers,"$11,710,818"
132,"Bobby Portis, F",Milwaukee Bucks,"$11,710,818"
133,"Robert Covington, PF",Philadelphia 76ers,"$11,692,308"
134,"Paolo Banchero, PF",Orlando Magic,"$11,608,080"
135,"Robert Williams III, C",Portland Trail Blazers,"$11,571,429"
136,"Coby White, PG",Chicago Bulls,"$11,111,111"
137,"Cade Cunningham, PG",Detroit Pistons,"$11,055,240"
138,"Talen Horton-Tucker, SF",Utah Jazz,"$11,020,000"
139,"P.J. Tucker, PF",LA Clippers,"$11,014,500"
140,"Joe Ingles, SG",Orlando Magic,"$11,000,000"
RK,NAME,TEAM,SALARY
141,"Maxi Kleber, PF",Dallas Mavericks,"$11,000,000"
142,"Donte DiVincenzo, SG",New York Knicks,"$10,960,000"
143,"Ivica Zubac, C",LA Clippers,"$10,933,333"
144,"LaMelo Ball, PG",Charlotte Hornets,"$10,900,635"
145,"Brandon Miller, F",Charlotte Hornets,"$10,880,400"
146,"Terance Mann, SG",LA Clippers,"$10,576,923"
147,"Matisse Thybulle, SG",Portland Trail Blazers,"$10,500,000"
148,"Gabe Vincent, PG",Los Angeles Lakers,"$10,500,000"
149,"Alec Burks, SG",New York Knicks,"$10,489,600"
150,"Chet Holmgren, PF",Oklahoma City Thunder,"$10,386,000"
RK,NAME,TEAM,SALARY
151,"Larry Nance Jr., PF",New Orleans Pelicans,"$10,375,000"
152,"Landry Shamet, SG",Washington Wizards,"$10,250,000"
153,"Al Horford, C",Boston Celtics,"$10,000,000"
154,"Malik Monk, SG",Sacramento Kings,"$9,945,830"
155,"Tre Jones, PG",San Antonio Spurs,"$9,895,833"
156,"Jalen Green, SG",Houston Rockets,"$9,891,480"
157,"Patrick Williams, PF",Chicago Bulls,"$9,835,881"
158,"Monte Morris, PG",Minnesota Timberwolves,"$9,800,926"
159,"Scoot Henderson, G",Portland Trail Blazers,"$9,770,880"
160,"Nic Claxton, C",Brooklyn Nets,"$9,625,000"
161,"Jeff Green, PF",Houston Rockets,"$9,600,000"
162,"Royce O'Neale, PF",Phoenix Suns,"$9,500,000"
163,"Alex Caruso, SG",Chicago Bulls,"$9,460,000"
164,"Victor Oladipo, SG",Memphis Grizzlies,"$9,450,000"
165,"Pat Connaughton, SG",Milwaukee Bucks,"$9,423,869"
166,"Jabari Smith Jr., PF",Houston Rockets,"$9,326,520"
167,"Isaiah Hartenstein, C",New York Knicks,"$9,245,121"
168,"Anthony Edwards, SG",Minnesota Timberwolves,"$9,219,512"
169,"Kyle Anderson, SF",Minnesota Timberwolves,"$9,219,512"
170,"Grayson Allen, SG",Phoenix Suns,"$8,925,000"
RK,NAME,TEAM,SALARY
171,"Isaac Okoro, SF",Cleveland Cavaliers,"$8,920,795"
172,"Evan Mobley, PF",Cleveland Cavaliers,"$8,882,760"
173,"Amen Thompson, F",Houston Rockets,"$8,809,320"
174,"Georges Niang, SF",Cleveland Cavaliers,"$8,800,000"
175,"Gary Payton II, SG",Golden State Warriors,"$8,715,000"
176,"T.J. McConnell, PG",Indiana Pacers,"$8,700,000"
177,"Keegan Murray, SF",Sacramento Kings,"$8,409,000"
178,"Onyeka Okongwu, PF",Atlanta Hawks,"$8,109,063"
179,"Scottie Barnes, SF",Toronto Raptors,"$8,008,560"
180,"Trey Lyles, PF",Sacramento Kings,"$8,000,000"
RK,NAME,TEAM,SALARY
181,"De'Anthony Melton, SG",Philadelphia 76ers,"$8,000,000"
182,"Moritz Wagner, C",Orlando Magic,"$8,000,000"
183,"Jock Landale, C",Houston Rockets,"$8,000,000"
184,"Ausar Thompson, F",Detroit Pistons,"$7,977,480"
185,"Miles Bridges, SF",Charlotte Hornets,"$7,921,301"
186,"Vasilije Micic, G",Charlotte Hornets,"$7,723,000"
187,"Paul Reed, F",Philadelphia 76ers,"$7,723,000"
188,"Zach Collins, PF",San Antonio Spurs,"$7,700,000"
189,"Jaden Ivey, PG",Detroit Pistons,"$7,641,480"
190,"Cody Martin, SF",Charlotte Hornets,"$7,560,000"
RK,NAME,TEAM,SALARY
191,"Kevon Looney, F",Golden State Warriors,"$7,500,000"
192,"Taurean Prince, PF",Los Angeles Lakers,"$7,455,000"
