Column 1,Column 2,Column 3,Column 4
408,"Markieff Morris, PF",Los Angeles Lakers,"$2,087,519"
409,"Patty Mills, PG",LA Clippers,"$2,087,519"
410,"Thomas Bryant, C",Indiana Pacers,"$2,087,519"
RK,NAME,TEAM,SALARY
411,"James Johnson, PF",Indiana Pacers,"$2,087,519"
412,"Vlatko Cancar, SF",Denver Nuggets,"$2,087,519"
413,"DeAndre Jordan, C",Denver Nuggets,"$2,087,519"
414,"Spencer Dinwiddie, PG",Dallas Mavericks,"$2,087,519"
415,"Javonte Green, G",Cleveland Cavaliers,"$2,087,519"
416,"Tristan Thompson, C",Cleveland Cavaliers,"$2,087,519"
417,"Talen Horton-Tucker, SF",Chicago Bulls,"$2,087,519"
418,"Luke Kornet, C",Boston Celtics,"$2,087,519"
419,"Duop Reath, C",Portland Trail Blazers,"$2,048,780"
420,"Jaylin Williams, F",Oklahoma City Thunder,"$2,019,699"
RK,NAME,TEAM,SALARY
421,"Bryce McGowens, G",Portland Trail Blazers,"$2,019,699"
422,"Jabari Walker, F",Portland Trail Blazers,"$2,019,699"
423,"Josh Minott, F",Minnesota Timberwolves,"$2,019,699"
424,"Andrew Nembhard, PG",Indiana Pacers,"$2,019,699"
425,"Jaden Hardy, G",Dallas Mavericks,"$2,019,699"
426,"Caleb Houstan, G",Orlando Magic,"$2,019,693"
427,"JT Thor, F",Cleveland Cavaliers,"$1,988,598"
428,"Jose Alvarado, PG",New Orleans Pelicans,"$1,988,598"
429,"Matt Ryan, F",New York Knicks,"$1,919,558"
430,"Mouhamed Gueye, F",Atlanta Hawks,"$1,891,858"
RK,NAME,TEAM,SALARY
431,"GG Jackson, F",Memphis Grizzlies,"$1,891,857"
432,"Javon Freeman-Liberty, G",Toronto Raptors,"$1,891,857"
433,"Rayan Rupert, G",Portland Trail Blazers,"$1,891,857"
434,"Sidy Cissoko, G",Portland Trail Blazers,"$1,891,857"
435,"Toumani Camara, F",Portland Trail Blazers,"$1,891,857"
436,"Ricky Council IV, G",Philadelphia 76ers,"$1,891,857"
437,"Maxwell Lewis, F",Brooklyn Nets,"$1,891,857"
438,"Jalen Wilson, F",Brooklyn Nets,"$1,891,857"
439,"Leonard Miller, F",Minnesota Timberwolves,"$1,891,857"
440,"Chris Livingston, F",Milwaukee Bucks,"$1,891,857"
441,"Andre Jackson Jr., G",Milwaukee Bucks,"$1,891,857"
442,"Gui Santos, F",Golden State Warriors,"$1,891,857"
443,"Trayce Jackson-Davis, F",Golden State Warriors,"$1,891,857"
444,"Jalen Pickett, G",Denver Nuggets,"$1,891,857"
445,"Hunter Tyson, F",Denver Nuggets,"$1,891,857"
446,"Craig Porter Jr., G",Cleveland Cavaliers,"$1,891,857"
447,"Julian Phillips, F",Chicago Bulls,"$1,891,857"
448,"Onuralp Bitim, SF",Chicago Bulls,"$1,891,857"
449,"Jordan Walsh, G",Boston Celtics,"$1,891,857"
450,"Jonathan Mogbo, F",Toronto Raptors,"$1,862,265"
RK,NAME,TEAM,SALARY
451,"Jamal Shead, G",Toronto Raptors,"$1,862,265"
452,"Johnny Furphy, F",Indiana Pacers,"$1,850,842"
453,"Pacome Dadiet, G",New York Knicks,"$1,808,080"
454,"Jae Crowder, PF",Sacramento Kings,"$1,655,619"
455,"Paul Reed, F",Detroit Pistons,"$1,427,671"
456,"Karlo Matkovic, C",New Orleans Pelicans,"$1,407,153"
457,"Landry Shamet, SG",New York Knicks,"$1,343,690"
458,"Bobi Klintman, F",Detroit Pistons,"$1,257,153"
459,"Jaylen Wells, F",Memphis Grizzlies,"$1,157,153"
460,"Oso Ighodaro, C",Phoenix Suns,"$1,157,153"
RK,NAME,TEAM,SALARY
461,"Adem Bona, C",Philadelphia 76ers,"$1,157,153"
462,"Tyler Smith, F",Milwaukee Bucks,"$1,157,153"
463,"Bronny James, G",Los Angeles Lakers,"$1,157,153"
464,"Cam Christie, G",LA Clippers,"$1,157,153"
465,"Antonio Reeves, G",New Orleans Pelicans,"$1,157,153"
466,"Pelle Larsson, G",Miami Heat,"$1,157,143"
467,"Ariel Hukporti, C",New York Knicks,"$1,064,558"
468,"Branden Carlson, C",Oklahoma City Thunder,"$990,895"
