Column 1,Column 2,Column 3,Column 4
93,"D'Angelo Russell, G",Brooklyn Nets,"$18,692,307"
94,"Patrick Williams, PF",Chicago Bulls,"$18,500,000"
95,"Collin Sexton, PG",Utah Jazz,"$18,350,000"
96,"Josh Hart, SG",New York Knicks,"$18,144,000"
97,"Jusuf Nurkic, C",Charlotte Hornets,"$18,125,000"
98,"Harrison Barnes, SF",San Antonio Spurs,"$18,000,000"
99,"Malik Monk, SG",Sacramento Kings,"$17,405,202"
100,"Bogdan Bogdanovic, SG",LA Clippers,"$17,260,000"
RK,NAME,TEAM,SALARY
101,"Rui Hachimura, PF",Los Angeles Lakers,"$17,000,000"
102,"Kevin Huerter, SG",Chicago Bulls,"$16,830,357"
103,"Zach Collins, PF",Chicago Bulls,"$16,741,200"
104,"Caris LeVert, SG",Atlanta Hawks,"$16,615,384"
105,"Luguentz Dort, G",Oklahoma City Thunder,"$16,500,000"
106,"Tim Hardaway Jr., SF",Detroit Pistons,"$16,193,183"
107,"Davis Bertans, SF",Charlotte Hornets,"$16,000,000"
108,"Klay Thompson, SG",Dallas Mavericks,"$15,873,016"
109,"Deni Avdija, SF",Portland Trail Blazers,"$15,625,000"
110,"Grayson Allen, SG",Phoenix Suns,"$15,625,000"
RK,NAME,TEAM,SALARY
111,"P.J. Washington, PF",Dallas Mavericks,"$15,500,000"
112,"Max Strus, SG",Cleveland Cavaliers,"$15,212,068"
113,"Isaiah Stewart, C",Detroit Pistons,"$15,000,000"
114,"Dorian Finney-Smith, PF",Los Angeles Lakers,"$14,924,168"
115,"Mitchell Robinson, C",New York Knicks,"$14,318,182"
116,"Jordan Clarkson, PG",Utah Jazz,"$14,092,577"
117,"Onyeka Okongwu, PF",Atlanta Hawks,"$14,000,000"
118,"Naz Reid, C",Minnesota Timberwolves,"$13,986,432"
119,"Cade Cunningham, PG",Detroit Pistons,"$13,940,658"
120,"Daniel Gafford, C",Dallas Mavericks,"$13,394,160"
121,"Grant Williams, PF",Charlotte Hornets,"$13,025,250"
122,"Dennis Schroder, PG",Detroit Pistons,"$13,025,250"
123,"Isaiah Joe, SG",Oklahoma City Thunder,"$12,991,650"
124,"Austin Reaves, SG",Los Angeles Lakers,"$12,976,362"
125,"Herbert Jones, SF",New Orleans Pelicans,"$12,976,362"
126,"Obi Toppin, PF",Indiana Pacers,"$12,946,429"
127,"Cole Anthony, PG",Orlando Magic,"$12,900,000"
128,"De'Anthony Melton, SG",Golden State Warriors,"$12,822,000"
129,"Kelly Olynyk, PF",New Orleans Pelicans,"$12,804,878"
130,"Victor Wembanyama, C",San Antonio Spurs,"$12,768,960"
RK,NAME,TEAM,SALARY
131,"Josh Green, SG",Charlotte Hornets,"$12,654,321"
132,"Devonte' Graham, PG",Portland Trail Blazers,"$12,650,000"
133,"Richaun Holmes, F",Washington Wizards,"$12,648,321"
134,"Steven Adams, C",Houston Rockets,"$12,600,000"
135,"Bobby Portis, F",Milwaukee Bucks,"$12,578,286"
136,"Zaccharie Risacher, PF",Atlanta Hawks,"$12,569,040"
137,"Marvin Bagley III, PF",Memphis Grizzlies,"$12,500,000"
138,"Brandon Clarke, PF",Memphis Grizzlies,"$12,500,000"
139,"Jalen Green, SG",Houston Rockets,"$12,483,048"
140,"Robert Williams III, C",Portland Trail Blazers,"$12,428,571"
RK,NAME,TEAM,SALARY
141,"Paolo Banchero, PF",Orlando Magic,"$12,160,800"
142,"Coby White, PG",Chicago Bulls,"$12,000,000"
143,"Wendell Carter Jr., C",Orlando Magic,"$11,950,000"
144,"Ivica Zubac, C",LA Clippers,"$11,743,210"
145,"P.J. Tucker, PF",Toronto Raptors,"$11,539,000"
146,"Donte DiVincenzo, SG",Minnesota Timberwolves,"$11,445,000"
147,"Brandon Miller, F",Charlotte Hornets,"$11,424,600"
148,"Terance Mann, SG",Atlanta Hawks,"$11,423,077"
149,"Alex Sarr, PF",Washington Wizards,"$11,245,680"
150,"Evan Mobley, PF",Cleveland Cavaliers,"$11,227,809"
RK,NAME,TEAM,SALARY
151,"Larry Nance Jr., PF",Atlanta Hawks,"$11,205,000"
152,"Matisse Thybulle, SG",Portland Trail Blazers,"$11,025,160"
153,"Moritz Wagner, C",Orlando Magic,"$11,000,000"
154,"Gabe Vincent, PG",Los Angeles Lakers,"$11,000,000"
155,"Maxi Kleber, PF",Dallas Mavericks,"$11,000,000"
